component,parameter,before,after,percent_change
wing,CL0,0.20287913876294228,0.25420180913700546,25.29716494608747
wing,Cm0,-0.06222032574165327,-0.1388529920310749,123.16339616672889
propeller,effective_thrust_scale,1.0,0.2879371480879906,-71.20628519120093
